what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.sse.ui,1.2.3.v201102102045,"org.eclipse.wst.sse.ui",1304761640121
started,bundle,org.eclipse.wst.sse.core,1.1.504.v201102160550,"org.eclipse.wst.sse.core",1304761640203
started,bundle,org.eclipse.wst.xml.core,1.1.503.v201102102045,"org.eclipse.wst.xml.core",1304761640256
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1304761640441
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1304761640502
started,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1304761640896
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1304761640917
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1304761640975
opened,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1304761641050
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1304761641227
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.edit.text.openLocalFile",1304761641234
started,bundle,org.eclipse.wst.validation,1.2.201.v201101270100,"org.eclipse.wst.validation",1304761641990
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1304761642052
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1304761642961
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1304761644112
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761650503
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761660349
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1304761660365
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1304761660365
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761673829
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761698864
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761721577
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761724314
error,log,,,"Exception while reading /ids/.classpath",1304761733016
error,log,,,"Exception while reading /ids/.classpath",1304761733018
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761733338
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1304761746853
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1304761746854
error,log,,,"Exception while reading /ids/.classpath",1304761780869
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20100427,"org.eclipse.ui.externaltools",1304761789480
started,bundle,org.eclipse.core.externaltools,1.0.1.v20100831_r361,"org.eclipse.core.externaltools",1304761789526
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761802645
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761807233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761810849
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761823677
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1304761826509
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1304761826945
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1304761827322
